date,count
2016-10-22,3
2016-10-21,3
2016-10-20,4
2016-10-19,4
2016-10-18,5
2016-10-17,4
2016-10-16,3
2016-10-15,4
2016-10-14,6
2016-10-13,6
2016-10-12,3
2016-10-11,5
2016-10-10,5
2016-10-9,3
2016-10-8,4
2016-10-7,5
2016-10-6,5
2016-10-5,5
2016-10-4,5
2016-10-3,6
2016-10-2,3
2016-10-1,2
2016-9-30,0
